index,food,pref
783,Papas Fritas,0
784,Paul's Vegan Macadamia Nut Cookies,0
785,Paul's Vegan Macadamia Nut Cookies,0
786,Peach Crunch Muffin,0
787,Peach Honey Bran Muffin,0
788,Peanut Butter Brownie,0
789,Peanut Kung Pao Chicken,1
790,Peanut Kung Pao Vegetables,0
791,Peanut Pad Thai with Tofu,0
792,Penne,1
793,Penne,1
794,Penne,1
795,Penne,1
796,Penne,1
797,"Penne with Sun Dried Tomato, Spinach and Portabella",0
798,Pepperoni Pizza,0
799,Pepperoni Pizza,0
800,Pepperoni Pizza,0
801,Pepperoni Pizza,0
802,Peruvian Bar,0
803,Peruvian Bar,0
804,Pesto Supreme Sauce,0
805,Pineapple Chicken Curry,0
806,Pineapple Tofu Curry,0
807,Pita Bread,0
808,Pizza Special,1
809,Pizza with Gochujang BBQ Chicken,1
810,"Pizza with Potato, Sausage and Cheese",1
811,"Pizza with Potato, Sausage and Cheese",1
812,Plain Cooked Elbow Pasta,0
813,Plantain Pancakes,0
814,Pork Al Pastor,0
815,Pork Carnitas,0
816,Pork Carnitas,1
817,Pork Hawaiian Braised,0
818,Pork Pozole,0
819,Pork Pozole,1
820,Portabello Tofu Fried Rice,1
821,Portobella Mushroom Cheese Steak,0
822,Portobello Cheese Quesadilla,0
823,Potato Latkes,0
824,Potato Mac Salad,0
825,Potato Samosas,0
826,Potato Samosas,0
827,Potatoes O'Brien,0
828,Potatoes O'Brien,0
829,Potatoes O'Brien,0
830,Pumpkin Pecan Muffin,0
831,Pumpkin Pie,0
832,Quiche Alsace with Ham,0
833,Quinoa Fruit Salad,0
834,Quinoa Fruit Salad,0
835,Quinoa with Butternut Squash and Kale,0
836,Ranch Chicken Sandwich with Bacon,0
837,Ranch Chicken Sandwich with Bacon,0
838,Raspberry Cheese Ring,0
839,Red Curry Tofu,0
840,Red Skin Mashed Potatoes,1
841,Red Skin Mashed Potatoes,1
842,Red Skin Mashed Potatoes,0
843,Red Velvet Cake,0
844,Refried Beans,0
845,Regular Cut Fries,1
846,Regular Cut Fries,1
847,Regular Cut Fries,0
848,Rice Krispy Treats,0
849,Rice Krispy Treats,0
850,Rice Krispy Treats,0
851,Rice Pilaf,0
852,Roast Beef with Sherried Mushroom Sauce,0
853,Roasted Cauliflower and Almond Salad,0
854,Roasted Corn,0
855,Roasted Corn,0
856,Roasted Corn,0
857,Roasted Corn,0
858,Roasted Corn,0
859,Roasted Kale and Butternut Squash,0
860,Roasted Kale and Butternut Squash,0
861,Roasted Red Potatoes Garlic Herb,0
862,Roasted Red Potatoes Garlic Herb,0
863,Roasted Seasonal Vegetables,0
864,Roasted Seasonal Vegetables,0
865,Roasted Seasonal Vegetables,0
866,Roasted Seasonal Vegetables,0
867,Roasted Seasonal Vegetables,0
868,Roasted Seasonal Vegetables,0
869,Roasted Seasonal Vegetables,0
870,Roasted Seasonal Vegetables,0
871,Roasted Sweet Potatoes,0
872,Roasted Vegetable Pizza,0
873,Roasted Vegetable Quesadilla,0
874,Roasted Vegetable Quesadilla,0
875,Roasted Vegetables,0
876,Roasted Vegetables,0
877,Roasted Vegetables,0
878,Roasted Vegetables,0
879,Roasted Vegetables,0
880,Roasted Vegetables in Balsamic Mustard Vinaigrette,0
881,Roasted Vegetables with Pesto Sandwich,0
882,Roasted Yams,0
883,Roasted Yams,0
884,Roasted Yams,0
885,Roasted Yukon Gold Potatoes,0
886,Roasted Yukon Gold Potatoes,1
887,Rodeo Burger,0
888,Roma Pesto Pizza,0
889,Roma Pesto Pizza,0
890,Rosemary Roasted Pork Loin,1
891,Saffron Orzo,0
892,Salsa Roja,0
893,Sauerkraut,0
894,Sausage Andouille,0
895,Sausage Andouille,0
896,Sausage Links,0
897,Sausage Links,0
898,Sausage Links,1
899,Sausage Patties,1
